Player	Caps	Goals	Club
Milan Škriniar	39	2	Internazionale
Mile Škorić	5	0	Osijek
Mislav Oršić	8	0	Dinamo Zagreb
Moussa Sissoko	68	2	Tottenham Hotspur
Mykola Matviyenko	35	0	Shakhtar Donetsk
Mykola Shaparenko	11	0	Dynamo Kyiv
N'Golo Kanté	45	2	Chelsea
Nacer Chadli	63	8	İstanbul Başakşehir
Nathan Aké	19	2	Manchester City
Nathan Patterson	0	0	Rangers
Neco Williams	11	1	Liverpool
Nélson Semedo	18	0	Wolverhampton Wanderers
Nemanja Nikolić	38	8	Fehérvár
Nico Elvedi	26	1	Borussia Mönchengladbach
Nicolai Boilesen	19	1	Copenhagen
Nicolò Barella	23	5	Internazionale
Niklas Süle	30	1	Bayern Munich
Niko Hämäläinen	7	0	Queens Park Rangers
Nikola Vlašić	21	5	CSKA Moscow
Nikolai Alho	12	0	MTK Budapest
Nuno Mendes	4	0	Sporting CP
Okay Yokuşlu	34	1	West Bromwich Albion
Oleksandr Karavayev	32	1	Dynamo Kyiv
Oleksandr Tymchyk	4	0	Dynamo Kyiv
Oleksandr Zinchenko	38	5	Manchester City
Oleksandr Zubkov	10	1	Ferencváros
Olivier Giroud	107	44	Chelsea
Ondřej Čelůstka	25	2	Sparta Prague
Ondrej Duda	44	5	1. FC Köln
Onni Valakari	5	1	Pafos
Orkun Kökçü	6	0	Feyenoord
Ousmane Dembélé	24	4	Barcelona
Owen Wijndal	8	0	AZ
Ozan Kabak	12	0	Liverpool
Ozan Tufan	60	9	Fenerbahçe
Pablo Sarabia	4	1	Paris Saint-Germain
Patrick van Aanholt	14	0	Crystal Palace
Patrik Hrošovský	35	0	Genk
Patrik Schick	25	10	Bayer Leverkusen
Pau Torres	8	1	Villarreal
Paul Pogba	79	10	Manchester United
Paulus Arajuuri	51	3	Pafos
Pavao Pervan	7	0	VfL Wolfsburg
Pavel Kadeřábek	47	3	1899 Hoffenheim
Paweł Dawidowicz	2	0	Hellas Verona
Pedri	4	0	Barcelona
Pedro Gonçalves	1	0	Sporting CP
Pepe	114	7	Porto
Péter Gulácsi	38	0	RB Leipzig
Peter Pekarík	100	2	Hertha BSC
Petr Ševčík	7	0	Slavia Prague
Phil Foden	6	2	Manchester City
Philipp Lienhart	3	0	SC Freiburg
Pierre-Emile Højbjerg	41	4	Tottenham Hotspur
Pierre Bengtsson	38	0	Vejle
Piotr Zieliński	59	6	Napoli
Pontus Jansson	27	0	Brentford
Presnel Kimpembe	16	0	Paris Saint-Germain
Przemysław Frankowski	11	1	Chicago Fire FC
Przemysław Płacheta	3	0	Norwich City
Pyry Soiri	31	5	Esbjerg
Quincy Promes	48	7	Spartak Moscow
Rafa Silva	21	0	Benfica
Rafael Tolói	3	0	Atalanta
Raheem Sterling	61	14	Manchester City
Raphaël Guerreiro	46	2	Borussia Dortmund
Raphaël Varane	74	5	Real Madrid
Rasmus Schüller	49	0	Djurgårdens IF
Reece James	6	0	Chelsea
Remo Freuler	29	3	Atalanta
Renato Sanches	25	2	Lille
Rhys Norrington-Davies	5	0	Stoke City
Ricardo Rodríguez	81	9	Torino
Rıdvan Yılmaz	2	0	Beşiktaş
Rifat Zhemaletdinov	4	0	Lokomotiv Moscow
Risto Jankov	0	0	Rabotnički
Róbert Boženík	16	4	Feyenoord
Robert Ivanov	4	0	Warta Poznań
Robert Lewandowski	118	66	Bayern Munich
Róbert Mak	65	14	Ferencváros
Robert Sánchez	0	0	Brighton & Hove Albion
Robert Skov	9	5	1899 Hoffenheim
Robert Taylor	19	1	Brann
Robin Gosens	6	0	Atalanta
Robin Koch	8	0	Leeds United
Robin Lod	43	4	Minnesota United FC
Robin Olsen	44	0	Everton
Robin Quaison	26	9	Mainz 05
Rodri	20	1	Manchester City
Roland Sallai	22	4	SC Freiburg
Roland Varga	21	3	MTK Budapest
Roman Bezus	23	5	Gent
Roman Yaremchuk	23	7	Gent
Roman Zobnin	35	0	Spartak Moscow
Romelu Lukaku	92	59	Internazionale
Rúben Dias	27	2	Manchester City
Rúben Neves	20	0	Wolverhampton Wanderers
Ruben Vargas	12	2	FC Augsburg
Rubin Colwill	1	0	Cardiff City
Rui Patrício	93	0	Wolverhampton Wanderers
Rui Silva	0	0	Granada
Ruslan Malinovskyi	36	6	Atalanta
Ryan Christie	19	4	Celtic
Ryan Fraser	17	4	Newcastle United
Ryan Gravenberch	4	0	Ajax
Salvatore Sirigu	26	0	Torino
Sam Johnstone	0	0	West Bromwich Albion
Saša Kalajdžić	6	3	VfB Stuttgart
Scott McKenna	20	0	Nottingham Forest
Scott McTominay	22	0	Manchester United
Sebastian Larsson	129	10	AIK
Serge Gnabry	21	15	Bayern Munich
Sergio Busquets	123	2	Barcelona
Sérgio Oliveira	11	0	Porto
Serhiy Kryvtsov	22	0	Shakhtar Donetsk
Serhiy Sydorchuk	36	3	Dynamo Kyiv
Silvan Widmer	16	1	Basel
Šime Vrsaljko	48	0	Atlético Madrid
Simon Kjær	106	3	Milan
Simon Mignolet	31	0	Club Brugge
Simon Sluga	3	0	Luton Town
Stanislav Lobotka	28	3	Napoli
Stefan de Vrij	44	3	Internazionale
Stefan Ilsanker	50	0	Eintracht Frankfurt
Stefan Lainer	29	1	Borussia Mönchengladbach
Stefan Posch	10	1	1899 Hoffenheim
Stefan Ristovski	65	2	Dinamo Zagreb
Stefan Spirovski	40	1	AEK Larnaca
Stefano Sensi	8	3	Internazionale
Stephen O'Donnell	18	0	Motherwell
Steve Mandanda	34	0	Marseille
Steven Berghuis	25	2	Feyenoord
Steven Zuber	37	8	Eintracht Frankfurt
Stole Dimitrievski	42	0	Rayo Vallecano
Stuart Armstrong	25	2	Southampton
Szabolcs Schön	0	0	FC Dallas
Tamás Cseri	3	0	Mezőkövesd
Taras Stepanenko	61	3	Shakhtar Donetsk
Taylan Antalyalı	6	0	Galatasaray
Teemu Pukki	91	30	Norwich City
Teun Koopmeiners	1	0	AZ
Thiago	42	2	Liverpool
Thibaut Courtois	83	0	Real Madrid
Thomas Delaney	53	5	Borussia Dortmund
Thomas Lam	26	0	PEC Zwolle
Thomas Lemar	24	4	Atlético Madrid
Thomas Meunier	47	7	Borussia Dortmund
Thomas Müller	101	38	Bayern Munich
Thomas Vermaelen	79	2	Vissel Kobe
Thorgan Hazard	34	6	Borussia Dortmund
Tihomir Kostadinov	10	0	Ružomberok
Tim Krul	15	0	Norwich City
Tim Sparv	81	1	AEL
Timo Werner	38	15	Chelsea
Timothy Castagne	13	2	Leicester City
Toby Alderweireld	108	5	Tottenham Hotspur
Tom Lockyer	13	0	Luton Town
Tomáš Holeš	7	1	Slavia Prague
Tomáš Hubočan	69	0	Omonia
Tomáš Kalas	22	2	Bristol City
Tomáš Pekhart	21	2	Legia Warsaw
Tomáš Souček	34	7	West Ham United
Tomáš Suslov	3	0	Groningen
Tomáš Vaclík	36	0	Sevilla
Tomasz Kędziora	22	0	Dynamo Kyiv
Toni Kroos	101	17	Real Madrid
Tyler Roberts	14	0	Leeds United
Tymoteusz Puchacz	1	0	Lech Poznań
Tyrone Mings	9	0	Aston Villa
Uğurcan Çakır	8	0	Trabzonspor
